company_name,country_code,country_name,hs_chapter,hs_description,trade_type,top_products,partner_countries,contact_email,contact_phone
m/s air india,IN,India,88,"Aircraft, spacecraft, and parts thereof",both,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",India|Switzerland|Türkiye|Latvia,,
m/s jet airways(india),IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",India|Japan|Qatar|Thailand,,
sri lankan airlines ltdairline centre bandaranaike int'l airport katunayake,LK,Sri Lanka,88,"Aircraft, spacecraft, and parts thereof",importer,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Under-carriages and parts thereof, for aircraft, n.e.s.|Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters and dirigibles)",Belgium|Qatar|Denmark,,
air india,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.|Propellers and rotors and parts thereof, for aircraft, n.e.s.",New Zealand|United States|Ireland,,
m/s hindustan aeronautics,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",India|Italy|Germany|Malaysia,,
spicejet,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft",Kuwait|Oman|India,,
m/s interglobe aviation,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft",Sri Lanka|Poland|Kazakhstan,,
sri lankan airlines,,"Hong Kong SAR, China",88,"Aircraft, spacecraft, and parts thereof",importer,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Under-carriages and parts thereof, for aircraft, n.e.s.|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",United Kingdom|Philippines (the)|France|Sri Lanka,,
m/s goodrich aerospace services,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.|Aircraft launching gear and parts thereof, n.e.s. (excl. motor winches for launching gliders); deck-arrestor or similar gear and parts thereof, n.e.s.","India|Uzbekistan|Mexico|Hong Kong SAR, China",,
federal express costa rica limitada,CR,Costa Rica,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",Ecuador|Chad|Israel,,
tata sia airlines,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters and dirigibles)|Parts of aircraft and spacecraft, n.e.s.","Hong Kong SAR, China|Nigeria|Malaysia",,
ao eyr astana,KZ,Kazakhstan,88,"Aircraft, spacecraft, and parts thereof",importer,"Under-carriages and parts thereof, for aircraft, n.e.s.|Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",Netherlands|Austria|Switzerland,,
